Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Down,Marian Hill,Jeremy Lloyd & Samantha Gongol,ACT ONE,,,,,,Electronic,7074649,197,1,1,1,11,2016,"2/28/17, 1:39 PM","2/28/17, 1:39 PM",256,44100,,Apple Music AAC audio file,,,247,"9/6/21, 3:09 PM",5,"1/20/21, 9:10 PM",,
Sugar (feat. Francesco Yates),Robin Schulz,"Robin Schulz, Francesco Yates, Frankie J, Nathan Perez, Ronald Bryant, Dennis Bierbrodt, Guido Kramer & Jürgen Dohr",Sugar,,,,,,Dance,7860306,219,1,1,2,15,2015,"3/5/17, 12:45 AM","3/5/17, 12:45 AM",256,44100,,Apple Music AAC audio file,,,246,"9/6/21, 3:12 PM",2,"11/23/20, 4:42 PM",,
Prayer In C (Robin Schulz Radio Edit),Robin Schulz & Lilly Wood & The Prick,Benjamin Cotto & Nili Hadida,Prayer,,,,,,Dance,,189,1,1,1,13,2014,"5/28/15, 2:59 PM","5/28/15, 2:59 PM",256,44100,,Purchased AAC audio file,,,237,"9/6/21, 3:16 PM",1,"12/14/18, 2:12 AM",,
Crazy (feat. Joie Tan) [Radio Mix],Teemid,"Brian Burton, Gian Piero Reverberi, Gianfranco Reverberi & Thomas DeCarlo Callaway",Prayer,,,,,,Dance,7696837,217,1,1,7,13,2014,"3/5/17, 6:28 PM","3/5/17, 6:28 PM",256,44100,,Apple Music AAC audio file,,,226,"9/6/21, 3:19 PM",2,"2/12/20, 4:04 PM",,
Destiny,Zero 7,,Simple Things,,,,,,Electronic,,337,1,1,3,14,2001,"10/2/12, 7:13 PM","6/1/12, 12:29 AM",256,44100,,Purchased AAC audio file,,,190,"9/6/21, 3:25 PM",,,,
Habits (Stay High),Tove Lo,"Tove Lo, Jakob Jerlström, Ludvig Söderberg & Daniel Ledinsky",Queen of the Clouds,,,,,,Alternative,,209,1,1,13,15,2014,"5/28/15, 2:59 PM","5/28/15, 2:59 PM",256,44100,,Purchased AAC audio file,,,199,"6/1/21, 3:57 PM",1,"6/8/17, 1:26 PM",,
This Is What You Came For (feat. Rihanna),Calvin Harris,Calvin Harris & Taylor Swift,This Is What You Came For (feat. Rihanna) - Single,,,,,,Dance,7826753,221,1,1,1,1,2016,"2/28/17, 1:41 PM","2/28/17, 1:41 PM",256,44100,,Apple Music AAC audio file,,,169,"6/1/21, 4:01 PM",2,"12/14/18, 2:12 AM",,
Feel so Close (Radio Edit),Calvin Harris,Calvin Harris,18 Months,,,,,,Dance,,206,1,1,3,15,2012,"12/21/13, 3:16 PM","5/4/13, 2:36 PM",256,44100,,Purchased AAC audio file,,(Radio Edit),185,"6/1/21, 4:04 PM",1,"12/14/18, 2:12 AM",,
1901,Phoenix,,Wolfgang Amadeus Phoenix,,,,,,Rock,7690103,193,1,1,2,10,2009,"2/28/17, 1:43 PM","2/28/17, 1:43 PM",256,44100,,Apple Music AAC audio file,,,180,"5/30/21, 2:34 PM",2,"12/14/18, 2:12 AM",,
Me & Mr. Jones,Amy Winehouse,,Back To Black,,,,,,Soul/R&B,5343366,151,1,1,3,13,2006,"5/9/10, 9:31 PM","1/10/09, 2:35 PM",256,44100,,AAC audio file,,Cleaned by TuneUp!,160,"5/30/21, 2:36 PM",5,"11/9/20, 6:06 PM",,
